Sponsor,Study Title,Medicine or Vaccine (generic name),Sponsor Identification Number,Trial Registry Identification Number(s),Medical Condition,Phase,Link to Sponsor Study Registry,Link to study details on ClinicalTrials.gov (if available),Link to study details on EudraCT (if available),Analysis-ready dataset,Annotated case report form,Clinical study report,Dataset specifications,Protocol with any amendments,Raw dataset,Reporting and analysis plan,Additional Information about the data and documents available for this study,Date Added to this Site
GSK,Tolerability of intravenous dose titration of retigabine administered as short time infusion in healthy male volunteers,"retigabine, ezogabine",3065A1-117,,Seizures,Phase 1,http://www.gsk-clinicalstudyregister.com/study/3065A1-117,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,Pharmacokinetics of Retigabine and its N-Acetylated Metabolite (NAMR) and the Impact on Serum Bilirubin in Subjects with Different Genotypes for UDP-glucuronyl transferase 1A1 (UGT1A1) and N-acetyl transferase (NAT2),"retigabine, ezogabine",3065A1-115,,Seizures,Phase 1,http://www.gsk-clinicalstudyregister.com/study/3065A1-115,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"An Open-label, Positive-controlled, Parallel-group Study to Determine the Effect of BRL 49653C, Rosiglitazone, on Body Fat Distribution When Administered for 26 Weeks to Patients with Type 2 Diabetes",rosiglitazone,049653/109,,"Diabetes Mellitus, Type 2",Phase 3,http://www.gsk-clinicalstudyregister.com/study/49653/109,,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.  A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Study to Examine the Effects of Alucol® , a Combination Magnesium/Aluminum Hydroxide-Containing Antacid, on the Pharmacokinetics of Rosiglitazone (8 mg).",rosiglitazone,49653/224,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/224,,,N,N,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A Double-Blind Study to Assess the Effect of Rosiglitazone (RSG) on the Pharmacodynamics and Pharmacokinetics of Acenocoumerol in Healthy Male Volunteers,rosiglitazone,49653/225,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/225,,,Y,N,Y,Y,Y,Y,Y,An annotated case report form is not available for this study. A blank case report form will be provided. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A Study to Estimate the Effect of Repeat Oral Doses of Rosiglitazone (8 mg) on the Pharmacokinetics of Glimepiride (4 mg) and the Effect of a Single Oral Dose of Glimepiride (4 mg) on the Pharmacokinetics of Rosiglitazone (8 mg) in Healthy Subjects.,rosiglitazone,49653/340,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/340,,,Y,N,Y,Y,Y,Y,N,An annotated and blank case report form are not available as the electronic data capture system used for this study did not generate paper versions. A reporting and analysis plan is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A 24-week Randomized, Double-blind, Active-Controlled, Multicenter Study to Evaluate the Safety and Efficacy of Rosiglitazone When Administered to Pediatric Patients with Type 2 Diabetes Mellitus",rosiglitazone,49653/207,,"Diabetes Mellitus, Type 2",Phase 3,http://www.gsk-clinicalstudyregister.com/study/49653/207,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A single dose study to assess the tolerability and food effect of an enterically-coated formulation of the commercial immediate release tablet of rosiglitazone and an enterically-coated modified release tablet formulation of rosiglitazone in healthy volunteers.,rosiglitazone,BRL-049653/299,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/299,,,N,N,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. An annotated and blank case report form are not available as the electronic data capture system used for this study did not generate paper versions. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A study to evaluate the pharmacokinetics of eight prototype formulations of rosiglitazone 8 mg in healthy volunteers.,rosiglitazone,BRL-049653/309,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/309,,,N,N,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. An annotated and blank case report form are not available as the electronic data capture system used for this study did not generate paper versions. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A six-month double-blind, randomised, parallel-group study to compare the effect of oral rosiglitazone (less than or equal to 4mg bd) versus oral glibenclamide therapy (less than or equal to 15mg daily) on body fat distribution when administered to subjects with type 2 diabetes mellitus",rosiglitazone,BRL-049653/369,,"Diabetes Mellitus, Type 2",Phase 4,http://www.gsk-clinicalstudyregister.com/study/49653/369,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A Study to Evaluate the Effect of Food on the Pharmacokinetics of a Modified Release Formulation of Rosiglitazone 8 mg in Healthy Volunteers After Repeat Dosing.,rosiglitazone,BRL49653/301,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/301,,,N,N,Y,Y,Y,Y,Y,An analysis-ready dataset and an annotated case report form are not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A Bioequivalence Study Comparing Tablets Manufactured with the 8 mg Anhydrate Form IV (ANF4) to the Commercial Anhydrate Form I (ANF1) of Rosiglitazone Maleate.,rosiglitazone,BRL49653C/300,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/300,,,N,N,Y,Y,Y,Y,Y,An analysis-ready dataset and an annotated case report form are not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A Bioequivalence Study With a Combination Tablet Formulation of Rosiglitazone and Metformin (4 mg/500 mg) Compared to Concomitant Dosing of Rosiglitazone 4 mg and Metformin 500 mg Commercial Tablets-and a Dose Proportionality Study Comparing the 4 mg/500 mg and 1 mg/500 mg Combination Formulations.,rosiglitazone; rosiglitazone/metformin,49653/270,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/270,,,Y,N,Y,Y,Y,Y,Y,An annotated case report form is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A Study to Assess the Effect of Food on the Pharmacokinetics of a Rosiglitazone 4mg and Metformin 500mg Combination Tablet Formulation and a Study Comparing the Pharmacokinetics of Rosiglitazone 4mg and Metformin 500mg Combination Tablet to Concomitant Dosing of Rosiglitazone 4mg and Metformin 500mg Commercial Tablets in the Fed State in Healthy Volunteers,rosiglitazone; rosiglitazone/metformin,49653/271,,"Diabetes Mellitus, Type 2",Phase 1,http://www.gsk-clinicalstudyregister.com/study/49653/271,,,Y,N,Y,Y,Y,Y,Y,An annotated case report form is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomised, Double-Blind, Placebo-Controlled, Cross-Over Study to Investigate the Cardiovascular Pharmacodynamic Effects and Pharmacokinetics of Salmeterol vs Placebo Following 15 Days BD Regimen In COPD Subjects",salmeterol,SCO20001,,"Pulmonary Disease, Chronic Obstructive",Phase 2,http://www.gsk-clinicalstudyregister.com/study/SCO20001,,,Y,Y,Y,Y,Y,Y,N,A reporting and analysis plan is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Multi-Center, Randomized, Double-Blind, Double-Dummy, Parallel-Group Comparison of Salmeterol Xinafoate Inhalation Aerosol Versus Ipratropium Bromide and Albuterol Sulfate Inhalation Aerosol in Subjects With Chronic Obstructive Pulmonary Disease",salmeterol,SMS40320,,"Pulmonary Disease, Chronic Obstructive",Phase 4,http://www.gsk-clinicalstudyregister.com/study/SMS40320,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A randomised, open-label, parallel group 28-day pilot study to compare the addition of inhaled salmeterol 50mcg b.i.d. (via the DISKHALER inhaler) or tulobuterol patch 2mg once daily nocte in adult asthmatic subjects symptomatic on treatment with inhaled corticosteroids.",salmeterol,SMS40332,,Asthma,Phase 4,http://www.gsk-clinicalstudyregister.com/study/SMS40332,,,N,N,Y,Y,Y,Y,N,An analysis-ready dataset and a reporting and analysis plan are are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomised, Single-Blind, Parallel-Group, 28-Day, Pilot Study to Compare the Addition of Inhaled Salmeterol 50µg bid (via the DISKHALER™ Inhaler) or Tulobuterol-Patch 2mg qd Nocte in Adult Asthmatic Subjects who are Symptomatic on Inhaled Corticosteroids Alone",salmeterol,SMS40329,,Asthma,Phase 4,http://www.gsk-clinicalstudyregister.com/study/SMS40329,,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomised, Double-Blind, Placebo-Controlled, Cross-Over Study to Compare the Systemic Pharmacodynamic Effects and Pharmacokinetics of Salmeterol Delivered by the Non-CFC Propellant (HFA-134a; GR106642X) and the CFCPropellant (Propellant 11/12) Metered Dose Inhalers in Healthy Subjects",salmeterol,SLGB10006,,Asthma,Phase 1,http://www.gsk-clinicalstudyregister.com/study/SLGB1006,,,N,N,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A double-blind, randomised, two-period, crossover drug interaction study to investigate the pharmacokinetic and pharmacodynamic effects of 7 days co-administration of salmeterol (50 mcg bid) with ketoconazole (400 mg od).",salmeterol,SMS106128,,Asthma,Phase 1,http://www.gsk-clinicalstudyregister.com/study/106128,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"Randomized, Double-Blind, Double-Dummy, Placebo-Controlled, Parallel Group, Multi-Center Clinical Trial of Four Weeks Treatment with SEREVENT™ Inhalation Aerosol, 25mcg BID, 50mcg BID and Placebo Administered Via a Valved-Holding Chamber with Facemask in Subjects with Symptoms of Asthma or Reactive Airways Disease Age 6 to 23 months",salmeterol,SMS30077,,Asthma,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SMS30077,,,Y,Y,Y,Y,N,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"SMART: A Double-Blind, Randomized, Placebo-Controlled Surveillance Study of Asthma Event Outcomes in Subjects Receiving Either Usual Pharmacotherapy of Asthma or Usual Pharmacotherapy Plus Salmeterol 42mcg Twice Daily",salmeterol,SLGA5011 SMART,,Asthma,Phase 4,http://www.gsk-clinicalstudyregister.com/study/SLGA5011,,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Multi-Centre, Randomised, Double-Blind, 12-Week, Parallel-Group Study to Compare Salmeterol Xinafoate 50mcg BD Delivered Either via a HFA Metered-Dose Inhaler or via a CFC Metered-Dose Inhaler, in the Treatment of Adults, Aged 12 years and Over, With Asthma",salmeterol,SMO30006,,Asthma,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SMO30006,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Multi-Centre, Randomised, Double-Blind, 12-Week, Parallel-Group Study to Compare Salmeterol Xinafoate 50mcg bd Delivered Either via a HFA Metered-Dose Inhaler or via a CFC Metered-Dose Inhaler, in the Treatment of Children Aged 4-11 Years With Asthma",salmeterol,SMO30007,,Asthma,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SMO30007,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Five-Week, Randomized, Double-Blind, Double-Dummy, Two-Period, Four-Treatment Crossover, Placebo-Controlled, Balanced, Incomplete Block Design, Multi-Center Study of Salmeterol Inhalation Aerosol 25mcg BID, 25mcg TID, 50mcg BID and Placebo Administered via a Holding Chamber with Facemask in Subjects with Asthma Aged 6 to 23 Months",salmeterol,SMS20011,,Asthma,Phase 2,http://www.gsk-clinicalstudyregister.com/study/SMS20011,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomized, Double-Blind, Double-Dummy, Placebo-Controlled, Parallel-Group Clinical Trial of 4 Weeks Treatment With SEREVENT Inhalation Aerosol, 25mcg BID, 50mcg BID, and Placebo Administered via a Valved Holding Chamber With Facemask in Subjects With Asthma Aged 24 to 47 Months",salmeterol,SMS30076,,Asthma,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SMS30076,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomized, Multi-Center, Cross Over Comparison of Salmeterol Xinafoate Inhalation Powder (50mcg BID) via the DISKUS ™ and Salmeterol Xinafoate Inhalation Aerosol (42mcg BID) via the Metered Dose Inhaler on Measures of Device Preference in Subjects with COPD",salmeterol,SMS40330,,"Pulmonary Disease, Chronic Obstructive",Phase 4,http://www.gsk-clinicalstudyregister.com/study/SMS40330,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"An open, randomised, two-period crossover study to demonstrate the bioequivalence of fast disintegrating sumatriptan 100 mg tablet dissolved in water compared to the currently marketed sumatriptan 100 mg tablet administered in the fasted state to healthy male and female subjects",sumatriptan,SUM10961,,Migraine Disorders,Phase 1,http://www.gsk-clinicalstudyregister.com/study/SUM10961,,,N,N,Y,Y,Y,Y,N,An analysis-ready dataset and a reporting and analysis plan are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"An open, randomised, four-period crossover study to investigate the bioavailability of a new orally disintegrating (melt) formulation (ODT) of sumatriptan, with and without water compared to the currently marketed sumatriptan 100mg tablet and also to investigate the effect of food on the ODT formulation, in healthy male and female subjects",sumatriptan,SUM10955,,Migraine Disorders,Phase 1,http://www.gsk-clinicalstudyregister.com/study/SUM10955,,,N,N,N,Y,N,Y,N,"An analysis-ready dataset, a reporting and analysis plan, an annotated case report form, and a protocol are not available for this study. A Clinical Study Report is not available for this study because only a draft version was located; no final version found in archives. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.",1-Mar-2015
GSK,"An open, randomised, three-period crossover study to demonstrate the bioequivalence of fast disintegrating sumatriptan 100mg tablet compared to the currently marketed sumatriptan 100mg tablet administered immediately after food and the fast disintegrating tablet administered in the fasted state to healthy male and female subjects",sumatriptan,SUM10954,,Migraine Disorders,Phase 1,http://www.gsk-clinicalstudyregister.com/study/SUM10954,,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"An open, randomised, four-period crossover study to demonstrate the bioequivalence of fast disintegrating sumatriptan tablets (50 and 100 mg tablets) compared with the currently marketed sumatriptan tablets (50 and 100 mg IMITREX† /IMIGRAN† tablets), in healthy male and female volunteers",sumatriptan,SUM10950,,Migraine Disorders,Phase 1,http://www.gsk-clinicalstudyregister.com/study/SUM10950,,,N,Y,Y,Y,Y,Y,N,An analysis-ready dataset and a reporting and analysis plan are not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"An open, randomised, single-dose, three-way crossover, pilot study investigating the relative bioavailability of two newly formulated fast disintegrating sumatriptan 50mg tablets versus the currently marketed sumatriptan 50mg tablets in healthy volunteers",sumatriptan,SUM10948,,Migraine Disorders,Phase 1,http://www.gsk-clinicalstudyregister.com/study/SUM10948,,,N,Y,Y,Y,Y,Y,N,An analysis-ready dataset and a reporting and analysis plan are not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"An open-label evaluation of patient satisfaction with IMITREX (sumatriptan succinate) tablets, 100mg, administered at the first sign of pain for up to three migraines in patients who are not satisfied with their current triptan therapy.",sumatriptan,SUM40301,,Migraine Disorders,Phase 4,http://www.gsk-clinicalstudyregister.com/study/SUM40301,,,Y,N,Y,Y,Y,Y,Y,An annotated case report form is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,Identification of Migraine Headache Among Self-Described and/or Physician Diagnosed Sinus Headache Sufferers and Treatment with IMITREX† 50mg Tablets,sumatriptan,SUM40294,,Migraine Disorders,Phase 4,http://www.gsk-clinicalstudyregister.com/study/SUM40294,,,N,N,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Single-Attack Study of Sumatriptan 6 mg Injection In the Treatment of Moderate-to-Severe Migraine Present Upon Awakening.",sumatriptan,SUM40287,,Migraine Disorders,Phase 4,http://www.gsk-clinicalstudyregister.com/study/SUM40287,,,N,N,Y,Y,Y,Y,N,"An analysis-ready dataset, an annotated case report form, and a reporting and analysis plan are not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.",1-Mar-2015
GSK,"A randomised, double-blind, single-attack, placebo-controlled, parallel group evaluation of the efficacy and tolerability of sumatriptan Fast Disintegrating Tablets (FDT) 50 mg and 100 mg versus placebo during the mild pain phase of a migraine attack.",sumatriptan,SUM30046,,Migraine Disorders,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SUM30046,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Double-Blind, Placebo-Controlled, Parallel Group Study To Evaluate Two Dose Levels (5mg And 20mg) Of Sumatriptan Nasal Spray In The Acute Treatment Of A Single Migraine Attack In Adolescent Migraineurs (12-17 Years Of Age)",sumatriptan,SUM30045,,Migraine Disorders,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SUM30045,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomised, Double-Blind, Placebo-Controlled, In-Clinic Pilot Study To Investigate The Efficacy And Tolerability Of 100mg Sumatriptan Administered As A Film-Coated, Fast Disintegrating Tablet",sumatriptan,SUM20033,,Migraine Disorders,Phase 2,http://www.gsk-clinicalstudyregister.com/study/SUM20033,,,N,Y,Y,Y,Y,Y,Y,An analysis-ready dataset is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A Randomized, Placebo Controlled, 3-Way Crossover Study to Investigate the Safety, Tolerability, and Pharmacokinetics of Repeat Dose Zanamivir/Placebo 10mg Administered Twice Daily for 5 Days by a Rotahaler Compared to the Diskhaler in Healthy Subjects",zanamivir,NAI113625,NCT00989404,"Influenza A Virus, H1N1 Subtype",Phase 1,http://www.gsk-clinicalstudyregister.com/study/113625,http://clinicaltrials.gov/show/NCT00989404,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2015
Roche,A single arm study to assess the efficacy and safety of bevacizumab in combination with irinotecan and infusional 5-fluorouracil/folic acid regimens as first line treatment for patients with metastatic colorectal cancer.,Bevacizumab,MO18458,,metastatic colorectal cancer,Phase 4,,,,Y,Y,Y,N,Y,Y,Y,,1-Apr-2015
Lilly,The Combination of Olanzapine and Fluoxetine in Treatment Resistant Depression without Psychotic Features,"Olanzapine, Fluoxetine",F1D-MC-HGHZ,Not available,Treatment-Resistant Depression,Phase 2/Phase 3,Not available,Not available,Not available,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Apr-2015
Lilly,Olanzapine Plus Fluoxetine Combination Therapy in Treatment-Resistant Depression: A Dose Ranging Study,"Olanzapine, Fluoxetine",F1D-MC-HGIE,Not available,Treatment-Resistant Depression,Phase 2/Phase 3,Not available,Not available,Not available,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Apr-2015
Lilly,The Study of Olanzapine plus Fluoxetine in Combination for Treatment-Resistant Depression Without Psychotic Features,"Olanzapine, Fluoxetine",H6P-MC-HDAO,NCT00035321,Treatment-Resistant Depression,Phase 3,Not available,https://clinicaltrials.gov/ct2/results?term=H6P-MC-HDAO&Search=Search,Not available,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2015
Lilly,Study to Assess the Safety and Efficacy of Olanzapine and Fluoxetine Combination versus Placebo in Patients Ages 10 to 17 in the Treatment of Major Depressive Episodes Associated with Bipolar I Disorder,"Olanzapine, Fluoxetine",H6P-MC-HDAX,NCT00844857,Bipolar Disorder,Phase 4,Not available,https://clinicaltrials.gov/ct2/show/NCT00844857?term=H6P-MC-HDAX&rank=1,Not available,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2015
Lilly,A Study to Assess the Long-Term Efficacy and Safety of Olanzapine and Fluoxetine Combination Versus Fluoxetine Only in the Relapse Prevention of Stabilized Patients with Treatment-Resistant Depression,"Olanzapine, Fluoxetine",H6P-MC-HDAY,NCT00958568,Treatment-Resistant Depression,Phase 3,Not available,https://clinicaltrials.gov/ct2/show/NCT00958568?term=H6P-MC-HDAY&rank=1,Not available,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2015
Lilly,"Safety and Pharmacological Effects of LY333334 on Biochemical Markers of Bone Metabolism in Healthy, Postmenopausal Women",Teriparatide,B3D-MC-GHAA,Not available,Osteoporosis,Phase 2,Not available,Not available,Not available,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Apr-2015
Lilly,Effects of LY333334 in the Treatment of Postmenopausal Women With Osteoporosis,Teriparatide,B3D-MC-GHAC,NCT00670501,Osteoporosis,Phase 3,Not available,https://clinicaltrials.gov/ct2/show/NCT00670501?term=B3D-MC-GHAC&rank=1,Not available,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2015
Lilly,Effects of LY333334 in Postmenopausal Women on Estrogen and Progestin Therapy,Teriparatide,B3D-MC-GHAF,Not available,Osteoporosis,Phase 3,Not available,Not available,Not available,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Apr-2015
Lilly,LY333334 Compared with Alendronate in Postmenopausal Women with Osteoporosis,Teriparatide,B3D-MC-GHAH,Not available,Osteoporosis,Phase 3,Not available,Not available,Not available,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Apr-2015
Lilly,Effects of LY333334 in the Treatment of Men with Osteoporosis,Teriparatide,B3D-MC-GHAJ,Not available,Osteoporosis,Phase 3,Not available,Not available,Not available,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Apr-2015
Lilly,Effect of Teriparatide on Femoral Neck Fracture Healing,Teriparatide,B3D-MC-GHDN,NCT01473589,Femoral Neck (Hip) Fracture,Phase 3,Not available,https://clinicaltrials.gov/ct2/results?term=B3D-MC-GHDN&Search=Search,Not available,Y,N,Y,Y,Y,Y,Y,The annotated case report form is not available. A blank case report form will be provided.,1-Apr-2015
Lilly,Second Study of the Effect of Teriparatide on Femoral Neck Fracture Healing,Teriparatide,B3D-MC-GHDQ,NCT01473602,Femoral Neck (Hip) Fracture,Phase 3,Not available,https://clinicaltrials.gov/ct2/results?term=B3D-MC-GHDQ&Search=Search,Not available,Y,N,Y,Y,Y,Y,Y,The annotated case report form is not available. A blank case report form will be provided.,1-Apr-2015
Lilly,Comparison of the Effects of Teriparatide With Those of Alendronate Sodium on Lumbar Spine Bone Mineral Density in Glucocorticoid-Induced Osteoporosis,Teriparatide,B3D-US-GHBZ,NCT00051558,Osteoporosis,Phase 3,Not available,https://clinicaltrials.gov/ct2/show/NCT00051558?term=B3D-US-GHBZ&rank=1,Not available,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2015
Boehringer Ingelheim,BIBW 2992 (Afatinib) With or Without Daily Temozolomide in the Treatment of Patients With Recurrent Malignant Glioma,afatinib,1200.36,NCT00727506,Glioma,Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,https://clinicaltrials.gov/ct2/show/NCT00727506?term=1200.36&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2015
Boehringer Ingelheim,RELY-ABLE Long Term Multi-center Extension of Dabigatran Treatment in Patients With Atrial Fibrillation Who Completed RE-LY Trial,dabigatran etexilate,1160.71,NCT00808067,Atrial Fibrillation,Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,https://clinicaltrials.gov/ct2/show/NCT00808067?term=1160.71&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2015
